Origin_Zone,Destination_Zone,Start_date,End_Date,Time_of_Day,Purpose,Subscriber_Class,Count,SZCount
13,14,20150401,20150430,H07:H10,HBW,Resident,1097.76,92.88738462
12,11,20150401,20150430,H07:H10,HBW,Resident,3090.48,34.53050279
11,12,20150401,20150430,H16:H19,HBW,Resident,2091.1,16.79598394
14,17,20150401,20150430,H07:H10,NHB,Resident,1523.61,284.4072
15,11,20150401,20150430,H16:H19,HBW,Resident,524.82,24.69741176
2,21,20150401,20150430,H16:H19,NHB,Visitor,960.22,32.66054422
17,25,20150401,20150430,H07:H10,HBO,Resident,227.04,53.77263158
14,17,20150401,20150430,H16:H19,HBO,Resident,1578.85,273.8226937
8,17,20150401,20150430,H07:H10,HBW,Resident,1321.14,5.951081081
15,34,20150401,20150430,H07:H10,HBO,Resident,228.6,50.1804878
15,34,20150401,20150430,H16:H19,HBW,Resident,29.48,7.37
14,11,20150401,20150430,H16:H19,HBO,Resident,5945.15,97.5614359
11,39,20150401,20150430,H07:H10,NHB,Resident,75.79,18.9475
2,10,20150401,20150430,H07:H10,NHB,Resident,2195.72,31.91453488
13,21,20150401,20150430,H07:H10,HBW,Resident,362.54,5.411044776
3,2,20150401,20150430,H07:H10,HBW,Resident,94.68,11.13882353
11,14,20150401,20150430,H07:H10,NHB,Resident,6772.59,228.2141328
14,11,20150401,20150430,H16:H19,NHB,Resident,10682.55,200.9257053
11,2,20150401,20150430,H16:H19,NHB,Visitor,1664.05,103.143595
9,17,20150401,20150430,H16:H19,HBO,Resident,2258.42,58.04350467
17,15,20150401,20150430,H16:H19,HBO,Resident,2805.7,166.4920879
15,17,20150401,20150430,H16:H19,HBO,Resident,1547.27,112.7565182
17,13,20150401,20150430,H16:H19,NHB,Visitor,297.72,43.56878049
9,16,20150401,20150430,H16:H19,NHB,Resident,2072.73,20.45457237
7,17,20150401,20150430,H16:H19,NHB,Visitor,326.21,6.5242
16,4,20150401,20150430,H16:H19,NHB,Resident,538.15,6.406547619
15,37,20150401,20150430,H07:H10,HBO,Resident,186.46,8.106956522
9,14,20150401,20150430,H07:H10,HBW,Resident,601.49,71.73733945
11,17,20150401,20150430,H16:H19,HBO,Resident,1155.61,112.2592571
14,2,20150401,20150430,H07:H10,NHB,Visitor,1850.48,217.2912121
2,14,20150401,20150430,H16:H19,NHB,Visitor,1458.35,229.5550926
39,24,20150401,20150430,H16:H19,NHB,Visitor,111.74,13.14588235
10,30,20150401,20150430,H07:H10,HBW,Resident,121.97,14.34941176
30,10,20150401,20150430,H16:H19,NHB,Resident,46.56,17.46
15,17,20150401,20150430,H07:H10,NHB,Resident,3036.89,282.1888938
12,17,20150401,20150430,H16:H19,NHB,Resident,437.64,131.9866667
16,14,20150401,20150430,H16:H19,NHB,Resident,2164.4,246.8175439
6,15,20150401,20150430,H16:H19,HBO,Resident,3072.38,19.82180645
10,14,20150401,20150430,H07:H10,NHB,Resident,952.61,77.76408163
14,6,20150401,20150430,H07:H10,NHB,Resident,357.41,52.73262295
17,13,20150401,20150430,H07:H10,HBW,Resident,1832.14,119.3576547
21,8,20150401,20150430,H16:H19,HBO,Resident,45.99,5.11
15,16,20150401,20150430,H07:H10,NHB,Resident,4979.97,144.5373879
13,9,20150401,20150430,H07:H10,HBO,Resident,305.76,52.04425532
11,14,20150401,20150430,H07:H10,HBW,Resident,13469.22,161.0450217
21,13,20150401,20150430,H16:H19,NHB,Resident,470.97,36.631
16,7,20150401,20150430,H16:H19,NHB,Resident,2365.44,19.9896338
16,25,20150401,20150430,H07:H10,NHB,Resident,226.09,77.51657143
14,24,20150401,20150430,H16:H19,NHB,Visitor,3391.21,853.0037423
6,11,20150401,20150430,H07:H10,HBO,Resident,489.16,12.70545455
13,15,20150401,20150430,H07:H10,HBO,Resident,214.83,34.65
30,12,20150401,20150430,H07:H10,HBO,Resident,106.61,15.23
12,2,20150401,20150430,H07:H10,NHB,Resident,419.22,18.77104478
33,40,20150401,20150430,H16:H19,NHB,Resident,13.77,9.18
14,13,20150401,20150430,H16:H19,NHB,Visitor,424.69,51.25568966
14,10,20150401,20150430,H16:H19,HBW,Resident,1204.13,97.2278882
2,7,20150401,20150430,H07:H10,HBO,Resident,137.6,15.28888889
10,18,20150401,20150430,H16:H19,NHB,Visitor,1903.81,6.872960289
16,35,20150401,20150430,H16:H19,NHB,Resident,165.47,6.364230769
35,13,20150401,20150430,H16:H19,HBO,Resident,28.18,7.045
14,12,20150401,20150430,H07:H10,HBO,Resident,447.5,25.21126761
11,35,20150401,20150430,H07:H10,HBW,Resident,313.71,19.606875
7,16,20150401,20150430,H07:H10,HBW,Resident,1618.44,13.2117551
16,2,20150401,20150430,H07:H10,NHB,Resident,376.14,95.62881356
7,15,20150401,20150430,H16:H19,HBO,Resident,1717.58,6.223115942
24,10,20150401,20150430,H16:H19,NHB,Visitor,1853.68,235.3879365
2,9,20150401,20150430,H16:H19,NHB,Visitor,916.64,35.25538462
17,13,20150401,20150430,H07:H10,NHB,Visitor,265.73,50.6152381
2,13,20150401,20150430,H07:H10,HBW,Resident,1487.86,10.91339853
27,13,20150401,20150430,H16:H19,HBO,Resident,101.88,7.836923077
16,31,20150401,20150430,H07:H10,HBO,Resident,145.25,37.89130435
15,11,20150401,20150430,H07:H10,HBO,Resident,1362.87,187.982069
17,26,20150401,20150430,H16:H19,HBO,Resident,320.77,43.3472973
13,10,20150401,20150430,H07:H10,NHB,Resident,1153.98,59.68862069
17,11,20150401,20150430,H16:H19,NHB,Resident,3115.32,590.192518
14,6,20150401,20150430,H16:H19,HBO,Resident,698.17,106.5908397
7,15,20150401,20150430,H07:H10,NHB,Visitor,248.87,13.82611111
14,9,20150401,20150430,H07:H10,HBO,Resident,271.79,23.13106383
10,2,20150401,20150430,H07:H10,NHB,Resident,3009.22,20.01698448
14,15,20150401,20150430,H07:H10,NHB,Resident,1572.17,291.1425926
15,14,20150401,20150430,H07:H10,NHB,Resident,4369.46,615.6966364
2,17,20150401,20150430,H16:H19,NHB,Resident,1225.68,261.0244444
11,16,20150401,20150430,H07:H10,HBW,Resident,1648.94,102.1467257
16,11,20150401,20150430,H16:H19,HBW,Resident,1017.02,49.43847222
